id,name,category,min_players,max_players,recommended_age,estimated_minutes,equipment,difficulty,description,key_coaching_points,progressions,regressions,attribute_map,solo_friendly,tags
4afe6276-87bc-4ddd-9f05-40cd3fd2d26b,Dynamic Movement Line,Warm-Up,6,20,U8-U19,8,cones,Beginner,"Players perform dynamic movements over 15–20 yards (high knees, butt kicks, skips) to raise core temperature.",Tall posture;Arms active;Gradually increase speed,Add ball at feet on return; add reaction cue (color/number).,Shorten distance; reduce movement variety.,Coordination:4|Agility:3|Goalkeeping:2,False,beginner;movement;u11-friendly;warm-up
157bc68c-70b3-4f16-a0ef-e01fc526d258,Rondo Warm-Up 4v1,Warm-Up,5,8,U10-U19,8,balls;cones,Intermediate,Keep-away in a small grid to activate passing rhythm and scanning.,Open body shape;One/two touch;Move after pass,Increase to 5v2; reduce grid size; touch limit.,Increase grid size; allow unlimited touches.,Passing:4|Decision Making:3|Weak Foot:2,False,intermediate;rondo;u11-friendly;warm-up
5168ca67-cef1-4003-8f14-9293dff79a03,Tag With Ball,Warm-Up,6,20,U8-U14,6,balls;cones,Beginner,Players dribble in a grid while 1–2 taggers try to tag. Tagged players do a quick task then rejoin.,Head up;Protect ball;Change direction,Weak-foot only; add safe zones with limits.,Walk tempo; bigger grid; fewer taggers.,Ball Control:4|Dribbling:3|Speed:2,False,beginner;fun;u11-friendly;warm-up
a4ba9000-07af-41cc-8a6b-8a915a3b5ea2,Activation: Hops + Stick,Warm-Up,4,20,U10-U19,6,cones,Intermediate,Single-leg hops with controlled landings to prep ankles/knees for cutting and contact.,Soft landing;Knee over toe;Stable core,Add lateral hops; add partner bump on landing.,Two-leg hops; reduce distance.,Balance:4|Strength:3|Finishing:2,True,injury-prep;intermediate;u11-friendly;warm-up
c87e818a-4e5f-4b30-8c70-1044f5f95962,Juggling Ladder,Warm-Up,1,20,U9-U19,7,balls,Intermediate,Players juggle and try to beat personal bests (thigh/foot) to wake up touch and coordination.,Relaxed ankle;Eyes up between touches;Quick reset after drops,Weak-foot minimum; add move after every 3 juggles.,Allow one bounce between touches.,Ball Control:4|Coordination:3|First Touch:2,True,intermediate;touch;u11-friendly;warm-up
5a4d8523-4f8c-4b39-b10a-b194b63e2294,Partner Mirror Footwork,Warm-Up,2,20,U10-U19,6,cones,Beginner,Pairs face each other; leader moves laterally/forward/back while partner mirrors to prep defensive feet.,Low center of gravity;Quick small steps;Stay balanced,Add ball for leader; add feints.,Slow tempo; shorten time.,Agility:4|Defending:3|Finishing:2,False,beginner;footwork;u11-friendly;warm-up
92a542d8-52df-4bbe-8adb-2e1fc2cc1c4d,Two-Color Reaction Dribble,Warm-Up,1,20,U9-U19,7,cones;balls,Intermediate,Players dribble freely; on coach call of a color they accelerate to that cone and stop ball under control.,Explode on cue;Stop ball cleanly;Scan while dribbling,"Fake call; add task at cone (turn, pass).",Fewer colors; larger grid.,Decision Making:4|Dribbling:3|Vision:2,True,intermediate;reaction;u11-friendly;warm-up
d9af556d-db4a-47d9-823a-391287b151f5,Mobility Circuit (Hips/Ankles),Warm-Up,1,20,U10-U19,8,cones,Beginner,"Short mobility stations (open gate, lunges, ankle rocks) to improve range of motion.",Controlled reps;Full range;Breathing steady,Add mini-band resistance; add pauses at end-range.,Reduce stations; fewer reps.,Balance:4|Coordination:3|Positioning:2,True,beginner;mobility;u11-friendly;warm-up
8291cbf8-e281-43ca-b811-09e14e9e1b92,Passing Gates Warm-Up,Warm-Up,4,20,U9-U19,8,balls;cones,Beginner,Pairs pass through cone gates and rotate to a new gate after a set number of passes.,Plant foot beside ball;Firm pass;First touch out of feet,One-touch only; smaller gates; weaker foot.,Bigger gates; allow trap and pass.,Passing:4|First Touch:3|Pressing:2,False,beginner;passing;u11-friendly;warm-up
2249efca-8002-4249-8d91-2dbeaebad523,3v1 Keep-Away Warm-Up,Warm-Up,4,10,U10-U19,7,balls;cones,Intermediate,Small rondo to prime quick decisions and support angles.,Create triangles;Play away from pressure;Scan before receiving,Add touch limit; add second defender.,Increase grid size; remove touch limit.,Receiving:4|Decision Making:3|Balance:2,False,intermediate;rondo;u11-friendly;warm-up
