plan_id,age_group,week,session,session_focus,total_minutes,warmup_minutes,technical_minutes,tactical_minutes,game_minutes,conditioning_minutes,warmup_drills,technical_drills,tactical_drills,game_drills,conditioning_drill,notes
fd8daa5b-fe08-44ef-be7f-8a7663c15efa,U10,1,1,Ball Mastery + First Touch,75,10,25,20,15,5,Juggling Ladder;Rondo Warm-Up 4v1,Weak-Foot Only Touches;Inside Cut + Outside Cut Alternation;Sole Rolls (Side-to-Side),First Touch Into Gate;Wall Pass Control (One Touch),Cross-Field Passing (Lofted),Ball Mastery Intervals (30/30),Adjust field size to age; keep tempo high; emphasize scanning and decision making.
a5041729-c382-4d5e-908e-894f0133095a,U10,1,2,Ball Mastery + First Touch,75,10,25,20,15,5,Circle Passing + Call Name;Rondo Warm-Up 5v2,Sole + Inside Combos;Pull-Push Alternating Feet;Drag Back (Sole) + Go,Aerial Control (Toss + Set);Receive & Switch (Long Touch Prep),Passing Gates Rotation,Finishing Under Fatigue,Adjust field size to age; keep tempo high; emphasize scanning and decision making.
84b7b594-11a4-48fa-9b64-71d70a31d162,U10,2,1,1v1 + Defending,75,10,25,20,15,5,Partner Mirror Footwork;Tag With Ball,Stop & Go (Defender Cone);1v1 Gate Attack;Winger 1v1 + Cross,1v1 Defending Channel;Defensive Transition 3v2,Sprint + Decel Box,Circuit: Core + Ball,Adjust field size to age; keep tempo high; emphasize scanning and decision making.
06a6375f-78e2-4d18-8472-0c5367b46f30,U10,2,2,1v1 + Defending,75,10,25,20,15,5,Partner Mirror Footwork;Tag With Ball,Shield & Spin (Pressure Cone);1v1 to Two Goals;1v1 King of the Ring,Intercepting Passing Lanes;Pressing Triggers Walkthrough,Plyo: Skater Jumps,Dribble-Sprint Cycles,Adjust field size to age; keep tempo high; emphasize scanning and decision making.
b1f94bb1-911c-4c26-9da6-0cad8ccea14a,U10,3,1,Combination + Finishing,75,10,25,20,15,5,Dribble + Turn Circuit;Two-Color Reaction Dribble,Third-Man Combination;Short Passing Pairs;One-Touch Bounce Passing,Volley Technique (Toss);First-Time Finishing (Pass Across),Find the Free Player (4v4+2),Finishing Under Fatigue,Adjust field size to age; keep tempo high; emphasize scanning and decision making.
b76691e3-e08e-4af8-8edc-5b72d0f8ed38,U10,3,2,Combination + Finishing,75,10,25,20,15,5,Passing Gates Warm-Up;Tag With Ball,Wall Pass + Finish (Combo);Long Passing (Driven) Partners;One-Touch in a Circle,Angle Finishing (Wide);Rebound Finishing (Second Ball),Compactness Lines (Defense Shape),Tempo Runs (On/Off),Adjust field size to age; keep tempo high; emphasize scanning and decision making.
9d3a1843-e333-422d-ab87-96eb4ac72194,U10,4,1,Game Model + Transitions,75,10,25,20,15,5,Circle Passing + Call Name;Tag With Ball,Scanning Grid (Color/Number);Third-Man Run Game (3 Zones);Finishing Decision (Shoot/Slip/Recycle),Passing Accuracy Targets (Numbers);One-Touch Bounce Passing,Sprint Repeaters (10x10),Small-Sided Conditioning 4v4,Adjust field size to age; keep tempo high; emphasize scanning and decision making.
cbef2c52-630f-4537-a5dc-63caf7afcfa6,U10,4,2,Game Model + Transitions,75,10,25,20,15,5,Dribble + Turn Circuit;Dynamic Movement Line,Build-Out Pattern (GK to Mid);Set-Piece Walkthrough (Corners);Compactness Lines (Defense Shape),Give-and-Go (Wall Pass);One-Touch Bounce Passing,Tempo Runs (On/Off),Sprint Repeaters (10x10),Adjust field size to age; keep tempo high; emphasize scanning and decision making.
6596031f-92fd-4d5c-ac3a-30ecbca702ba,U11,1,1,Ball Mastery + First Touch,75,10,25,20,15,5,Shadow Dribble Stretch;3v1 Keep-Away Warm-Up,Sole Pull + Outside Push;Around-the-World (Coerver) Reps;Outside-Inside (Zigzag) Lane,Receive + 2-Touch Direction Change;First Touch Into Gate,Wall Pass + Finish (Combo),Sprint Repeaters (10x10),Adjust field size to age; keep tempo high; emphasize scanning and decision making.
4b2dd063-b287-41cf-bcf9-5a482a3dea9e,U11,1,2,Ball Mastery + First Touch,75,10,25,20,15,5,Two-Color Reaction Dribble;Rondo Warm-Up 5v2,Inside Touches Forward/Back;Scissors Reps;Sole Rolls (Side-to-Side),Pressure Touch Escape (3-Second Rule);Receive & Switch (Long Touch Prep),Rondo 5v2 (Possession),Ball Mastery Intervals (30/30),Adjust field size to age; keep tempo high; emphasize scanning and decision making.
c845d33f-1afa-4eae-86ee-c7dccfef17fc,U11,2,1,1v1 + Defending,75,10,25,20,15,5,Passing Gates Warm-Up;Circle Passing + Call Name,1v1 Gate Attack;Move + Burst Ladder;Central 1v1 + Finish,Close-Out & Contain;Backpedal + Turn Sprint,T-Drill (Change of Direction),Finishing Under Fatigue,Adjust field size to age; keep tempo high; emphasize scanning and decision making.
683c4f2f-c3d5-4066-8a8a-43e33f59b7a1,U11,2,2,1v1 + Defending,75,10,25,20,15,5,Activation: Hops + Stick;Circle Passing + Call Name,Tight Space Dribble Box;2v1 Transition (Small Goal);1v1 King of the Ring,Intercepting Passing Lanes;1v1 Defending Channel,Curved Runs (Pressing Angles),Finishing Under Fatigue,Adjust field size to age; keep tempo high; emphasize scanning and decision making.
8718963f-98bd-4922-8dfc-305e40fb0a1f,U11,3,1,Combination + Finishing,75,10,25,20,15,5,Mobility Circuit (Hips/Ankles);Activation: Hops + Stick,One-Touch Bounce Passing;Long Passing (Driven) Partners;Wall Pass + Finish (Combo),Finishing Through Cones (Gate Shot);1v1 Breakaway Finish,Find the Free Player (4v4+2),Sprint Repeaters (10x10),Adjust field size to age; keep tempo high; emphasize scanning and decision making.
f8ac2797-356a-464d-8693-2b7fe1660b38,U11,3,2,Combination + Finishing,75,10,25,20,15,5,Juggling Ladder;Activation: Hops + Stick,Short Passing Pairs;Cross-Field Passing (Lofted);Give-and-Go (Wall Pass),First-Time Finishing (Pass Across);Shooting on the Move (Diagonal),Third-Man Run Game (3 Zones),Small-Sided Conditioning 4v4,Adjust field size to age; keep tempo high; emphasize scanning and decision making.
177d9be9-e65d-49ba-ab94-f55b55e23030,U11,4,1,Game Model + Transitions,75,10,25,20,15,5,Passing Gates Warm-Up;Two-Color Reaction Dribble,Counterpress 5-Second Rule;Overload to Finish (4v3);Compactness Lines (Defense Shape),Third-Man Combination;Short Passing Pairs,Small-Sided Conditioning 4v4,Ball Mastery Intervals (30/30),Adjust field size to age; keep tempo high; emphasize scanning and decision making.
14784b6a-7298-42e0-aaea-dc4d0c181643,U11,4,2,Game Model + Transitions,75,10,25,20,15,5,Two-Color Reaction Dribble;Shadow Dribble Stretch,Third-Man Run Game (3 Zones);Counterpress 5-Second Rule;Scanning Grid (Color/Number),Passing Under Pressure Box;Short Passing Pairs,Small-Sided Conditioning 4v4,Small-Sided Conditioning 4v4,Adjust field size to age; keep tempo high; emphasize scanning and decision making.
cb350194-7420-4fb8-a911-69c612b5a4b5,U12,1,1,Ball Mastery + First Touch,75,10,25,20,15,5,Passing Gates Warm-Up;Juggling Ladder,Cruyff Turn Reps;V-Pulls;Drag Back (Sole) + Go,Receive on Back Foot (Open Touch);First Touch + Finish (Rebounder/Wall),4-Corner Passing Pattern,Finishing Under Fatigue,Adjust field size to age; keep tempo high; emphasize scanning and decision making.
